"patchID";"dayOfYear";"speciesId";"n"
3017187;14;6361;1
3017187;14;7214;1
3017187;14;7276;1
3017187;14;7291;2
3017187;14;7449;9
3017187;14;7753;1
3017187;14;8101;1
3017187;14;8602;2
3017187;14;8768;1
3017187;14;8959;3
3017187;14;9150;1
3017187;14;9413;1
3017187;14;9464;1
3010995;15;7367;1
3014212;15;5679;1
3017020;15;1913;1
3017020;15;2694;1
3017020;15;2779;1
3017020;15;4440;1
3017020;15;5314;2
3017020;15;6513;1
3017020;15;6736;1
3017020;15;7858;1
3017020;15;8646;1
3017020;15;8768;1
3017020;15;9286;1
3017020;15;9491;1
3009757;16;3442;1
3009757;16;9679;2
3009757;16;9826;1
3010934;16;8602;1
3010934;16;8692;1
3010968;16;2193;1
3010968;16;5776;1
3010968;16;7415;1
3012852;16;257;2
3013077;16;6159;1
3015700;16;1047;1
3015700;16;3375;1
3015700;16;4185;1
3015700;16;5213;1
3015700;16;6005;2
3015700;16;7021;1
3015700;16;9020;1
3015700;16;9669;1
3016836;16;10;1
3016836;16;1602;1
3016836;16;1916;1
3016836;16;4739;1
3016836;16;6372;1
3016836;16;7173;2
3016836;16;7840;1
3016881;16;3553;1
3016946;16;1870;1
3016946;16;2514;1
3016946;16;4739;1
3016946;16;7319;1
3016946;16;7486;1
3016946;16;7794;1
3016946;16;7981;1
3016946;16;8725;1
3017166;16;8786;1
3017764;16;2608;1
3017764;16;3384;1
3017764;16;4961;1
3017764;16;5996;1
3017764;16;7291;1
3017764;16;9509;1
3017997;16;4185;1
3017997;16;8547;1
3018605;16;1520;1
3005323;17;6193;1
3008701;17;793;1
3008701;17;1805;1
3008701;17;3752;1
3008701;17;6449;1
3008701;17;8154;1
3008701;17;9182;1
3009396;17;3341;1
3009396;17;3397;1
3009396;17;3644;1
3009396;17;5895;1
3009396;17;7486;1
3009451;17;8752;1
3011024;17;626;1
3011024;17;1047;1
3011024;17;3924;3
3011024;17;4051;1
3011024;17;5111;1
3011024;17;5654;1
3011024;17;6334;1
3011024;17;8754;1
3011024;17;8861;1
3014190;17;1559;3
3015633;17;499;1
3015633;17;1998;1
3015633;17;5776;1
3015633;17;5831;1
3015715;17;988;1
3015715;17;996;1
3015715;17;1166;1
3015829;17;399;1
3015829;17;801;1
3015829;17;1463;2
3015829;17;2172;1
3015829;17;3141;1
3015829;17;5210;1
3015829;17;5831;1
3015829;17;6690;2
3015829;17;7415;1
3015829;17;8702;1
3015829;17;9109;1
3016733;17;5120;1
3016765;17;268;1
3016765;17;2161;1
3016765;17;3307;2
3016765;17;4304;1
3016765;17;4440;2
3016765;17;4644;1
3016765;17;6354;1
3016765;17;9586;1
3017087;17;2143;1
3017087;17;2193;1
3017087;17;4440;2
3017306;17;2780;1
3017306;17;4885;1
3017306;17;6372;1
3017989;17;2383;2
3017989;17;8814;1
3018157;17;171;1
3018157;17;9749;1
3018612;17;4051;2
3018634;17;746;1
3018634;17;1823;1
3018634;17;3007;1
3018634;17;4553;1
3018634;17;5776;1
3018634;17;6541;1
3018634;17;6700;1
3018751;17;1364;1
3018751;17;8168;1
3018751;17;9807;1
3018763;17;231;1
3018763;17;764;1
3018763;17;1122;1
3018763;17;3052;1
3008525;18;8395;1
3008754;18;24;1
3012957;18;369;2
3012957;18;417;1
3013473;18;801;1
3013473;18;890;1
3013473;18;6541;1
3013473;18;7367;1
3013473;18;8176;1
3013473;18;8607;1
3013579;18;980;1
3013579;18;1769;1
3013579;18;2862;1
3013579;18;3004;1
3013579;18;5017;1
3013579;18;5314;1
3013579;18;7367;1
3015321;18;1706;1
3015321;18;4125;1
3015321;18;6352;1
3015321;18;8303;1
3015321;18;9135;1
3016000;18;7624;1
3016000;18;9689;1
3017002;18;1602;2
3017002;18;2514;1
3017002;18;3307;1
3017002;18;3694;1
3017002;18;4274;1
3017002;18;5338;1
3017002;18;8250;1
3017159;18;1602;1
3017159;18;2193;1
3017159;18;4559;1
3017159;18;4644;2
3017159;18;5835;1
3017697;18;2694;1
3017697;18;4465;1
3017697;18;5934;1
3017697;18;7760;2
3017881;18;220;1
3017881;18;8841;1
3018191;18;6007;1
3018565;18;8179;1
3018765;18;9509;1
3009119;19;2856;1
3009119;19;6159;1
3009119;19;6519;1
3015351;19;5271;2
3016290;19;254;1
3017122;19;5707;1
3017122;19;8799;1
3017576;19;4739;1
3017576;19;5165;1
3017576;19;5538;1
3017576;19;5944;1
3017576;19;8602;1
3017576;19;8785;1
3017576;19;9741;1
3018022;19;2132;2
3018029;19;427;1
3018029;19;1867;1
3018029;19;4051;1
3018029;19;4102;1
3018029;19;4351;1
3018029;19;5032;1
3018029;19;8214;1
3018029;19;8900;1
3018029;19;9112;1
3018764;19;5030;1
3005258;20;265;1
3005258;20;1158;1
3005258;20;9669;1
3016273;20;149;1
3015501;21;253;2
3015501;21;742;1
3015501;21;772;1
3015501;21;2501;1
3015501;21;5032;1
3015501;21;6159;1
3015501;21;6342;1
3015501;21;7276;2
3015501;21;7592;1
3015501;21;8235;1
3015501;21;8987;1
3015897;21;890;1
3011437;22;3321;1
3011437;22;4125;1
3011437;22;7193;1
3011437;22;7609;1
3012765;22;3674;1
3012765;22;4991;1
3012765;22;5763;1
3012765;22;6077;1
3012765;22;6743;1
3015362;22;303;1
3015362;22;2781;1
3015362;22;6513;1
3015362;22;9994;1
3015645;22;2193;1
3015645;22;3757;1
3015685;22;268;4
3015685;22;988;2
3015685;22;1995;1
3015685;22;2223;1
3015685;22;3553;1
3015685;22;3757;1
3015685;22;5679;1
3015685;22;7189;1
3015685;22;7592;1
3015685;22;8006;1
3015685;22;9387;1
3015685;22;9803;1
3015757;22;346;1
3015757;22;772;1
3015757;22;9803;1
3018738;22;265;1
3018738;22;3207;1
3018738;22;4321;1
3018738;22;4922;1
3018738;22;5030;1
3018738;22;6217;1
3011232;23;441;1
3011232;23;1823;1
3011232;23;2694;1
3011232;23;2854;1
3011232;23;3644;1
3011232;23;3768;1
3011232;23;6649;1
3011232;23;9803;1
3011391;23;615;1
3011391;23;2132;1
3011391;23;2677;1
3011391;23;6334;1
3011391;23;7608;1
3011391;23;7675;1
3011391;23;7887;1
3011391;23;8141;1
3011391;23;8235;1
3011391;23;8303;1
3011391;23;8752;1
3011391;23;8766;1
3011391;23;8959;2
3011391;23;9464;2
3011391;23;9739;1
3011391;23;9988;1
3012453;23;8000;1
3013001;23;3069;1
3013001;23;6202;1
3013001;23;6971;1
3015564;23;1594;1
3015612;23;346;1
3016525;23;1649;1
3016869;23;3753;1
3016869;23;7449;1
3016869;23;7753;1
3016869;23;8893;3
3017457;23;1641;1
3017552;23;2514;1
3017552;23;3307;1
3017579;23;6341;1
3017668;23;4961;1
3017668;23;4998;2
3017668;23;6361;1
3017668;23;8023;1
3017668;23;9860;1
3017699;23;1954;1
3017699;23;4739;1
3017699;23;4977;1
3017699;23;5996;1
3017699;23;8023;1
3017699;23;8196;1
3018114;23;6567;1
3018114;23;7164;1
3018812;23;1005;1
3018812;23;1559;1
3018812;23;2834;1
3018812;23;7787;1
3018812;23;8735;1
3009042;24;1596;1
3009042;24;4274;1
3009042;24;6501;1
3009042;24;6966;1
3009042;24;7415;2
3009634;24;8826;1
3011303;24;790;1
3011303;24;795;1
3011303;24;944;1
3011303;24;1081;1
3011303;24;1823;2
3011303;24;2193;1
3011303;24;2404;1
3011303;24;2694;1
3011303;24;2989;1
3011303;24;3105;1
3011303;24;3218;1
3011303;24;3823;1
3011303;24;4051;1
3011303;24;5263;1
3011303;24;5707;1
3011303;24;5776;1
3011303;24;5959;1
3011303;24;5996;1
3011303;24;6005;1
3011303;24;6060;7
3011303;24;6361;1
3011303;24;7076;1
3011303;24;7415;1
3011303;24;8702;1
3011303;24;9324;1
3011303;24;9554;1
3011303;24;9909;1
3012917;24;772;1
3012917;24;3007;1
3012917;24;7427;1
3013580;24;5745;1
3013882;24;9857;1
3015576;24;1641;1
3015576;24;6501;2
3015576;24;6971;1
3015576;24;8762;1
3015576;24;8786;1
3015576;24;9556;1
3015720;24;795;1
3015720;24;1055;1
3015720;24;3768;1
3015720;24;7021;1
3015720;24;8136;2
3016531;24;196;5
3016531;24;410;2
3016531;24;503;1
3016531;24;801;1
3016531;24;913;1
3016531;24;996;2
3016531;24;1166;6
3016531;24;1913;3
3016531;24;2069;1
3016531;24;2188;1
3016531;24;2200;5
3016531;24;2501;1
3016531;24;2613;2
3016531;24;2826;1
3016531;24;3589;2
3016531;24;3757;2
3016531;24;4114;1
3016531;24;4451;1
3016531;24;4871;1
3016531;24;4978;2
3016531;24;5042;3
3016531;24;5776;1
3016531;24;6330;2
3016531;24;6411;2
3016531;24;7246;1
3016531;24;7267;1
3016531;24;7276;4
3016531;24;7471;3
3016531;24;7615;1
3016531;24;8009;2
3016531;24;8203;1
3016531;24;8235;1
3016531;24;8259;3
3016531;24;8646;2
3016531;24;8729;1
3016531;24;8799;3
3016531;24;9135;4
3016531;24;9259;3
3016531;24;9491;1
3016531;24;9511;1
3016531;24;9514;1
3017483;24;1131;1
3017483;24;2694;1
3017483;24;2834;1
3017483;24;4465;1
3017483;24;5776;1
3017483;24;9464;3
3017637;24;437;1
3017637;24;615;1
3017637;24;1870;2
3017637;24;2514;3
3017637;24;5404;1
3017637;24;7057;1
3017637;24;7577;1
3017637;24;7592;1
3017637;24;7734;1
3017637;24;8768;1
3017637;24;8881;1
3017637;24;9558;1
3017637;24;9803;1
3018076;24;6077;1
3018076;24;6278;1
3018076;24;6591;2
3018076;24;7995;1
3018076;24;8354;1
3018076;24;8741;1
3018573;24;1320;1
3018573;24;5727;1
3018573;24;8762;1
3018573;24;8841;1
3012623;25;742;4
3012623;25;3852;1
3012623;25;4269;1
3012623;25;5792;1
3012623;25;6278;1
3013582;25;5492;1
3013582;25;5763;1
3013582;25;6705;1
3013639;25;1460;1
3015385;25;665;1
3015385;25;2501;1
3015444;25;2805;1
3017519;25;4961;1
3017519;25;7456;1
3017541;25;2514;1
3017541;25;5400;1
3017541;25;7734;1
3017541;25;8196;1
3018048;25;4526;1
3018173;25;2200;1
3018173;25;4102;1
3018173;25;8136;1
3018173;25;8732;1
3018584;25;1529;2
3018584;25;4526;1
3018584;25;5868;1
3001261;26;523;1
3001261;26;5076;1
3001261;26;6944;1
3001261;26;7415;1
3001261;26;8754;1
3001399;26;1241;3
3001399;26;2627;1
3001399;26;3154;1
3001399;26;3960;1
3001399;26;4195;1
3001399;26;4284;1
3001399;26;5111;1
3001399;26;5736;1
3001399;26;5815;2
3001399;26;5868;1
3001399;26;5894;1
3001399;26;6193;1
3001399;26;7858;1
3001399;26;8471;1
3001399;26;8752;1
3001399;26;9182;1
3001399;26;9558;1
3001399;26;9994;1
3008859;26;2132;1
3008859;26;3013;1
3008859;26;3543;1
3008859;26;8303;1
3008956;26;6756;1
3008956;26;7413;1
3012179;26;988;3
3012179;26;994;2
3012179;26;1706;1
3012179;26;2501;1
3012179;26;2834;1
3012179;26;2854;1
3012179;26;5778;2
3012179;26;5968;1
3012179;26;6060;4
3012179;26;7276;1
3012179;26;8478;1
3012179;26;9491;3
3012179;26;9523;1
3013698;26;478;1
3013698;26;1941;1
3013698;26;9761;1
3013733;26;515;1
3013733;26;615;1
3013733;26;772;1
3013733;26;1081;1
3013733;26;2048;2
3013733;26;2172;1
3013733;26;2926;1
3013733;26;3341;1
3013733;26;3768;1
3013733;26;4715;1
3013733;26;7021;1
3013733;26;9558;1
3013733;26;9669;1
3017506;26;5338;1
3017506;26;8785;1
3017665;27;3643;1
3011243;28;520;1
3011243;28;4977;1
3013186;28;826;1
3013186;28;980;1
3013186;28;2608;1
3013186;28;3543;1
3013186;28;3960;1
3013186;28;7648;1
3009422;29;5;1
3009422;29;252;1
3009422;29;3480;1
3015428;29;520;1
3015428;29;1641;1
3015428;29;2181;1
3015428;29;2810;1
3015428;29;2926;1
3015428;29;3442;1
3015428;29;4269;1
3015428;29;6247;1
3015428;29;6305;1
3015428;29;6501;1
3015428;29;8399;1
3015428;29;8471;1
3015474;29;3925;1
3015474;29;3994;1
3015474;29;7923;1
3015474;29;8741;1
3015474;29;9554;1
3017421;29;5263;2
3018687;29;784;1
3018687;29;7981;1
3018687;29;8141;1
3018813;29;402;1
3018813;29;9843;1
3009115;30;9881;1
3009395;30;18;1
3009395;30;231;1
3009395;30;2382;1
3009395;30;4978;1
3011881;30;24;1
3011881;30;2627;1
3011881;30;2932;1
3011881;30;3013;1
3011881;30;7291;2
3011881;30;8706;1
3011881;30;8935;1
3015785;30;1304;1
3015785;30;5213;1
3015923;30;1384;1
3015923;30;6060;1
3016031;30;271;1
3016031;30;2381;2
3016031;30;2499;1
3016031;30;3207;1
3016031;30;5170;1
3016031;30;5400;2
3016031;30;6454;1
3016031;30;6772;1
3016031;30;7583;5
3016031;30;8023;1
3016031;30;8196;2
3016031;30;9509;1
3016031;30;9679;1
3017090;30;10;1
3017090;30;80;1
3017090;30;248;1
3017090;30;746;1
3017090;30;966;1
3017090;30;988;1
3017090;30;3050;1
3017090;30;3116;1
3017090;30;3307;1
3017090;30;3694;3
3017090;30;5944;1
3017090;30;8141;2
3017090;30;8250;1
3017090;30;8602;3
3017090;30;8799;1
3017090;30;8959;2
3017090;30;9586;3
3017147;30;196;1
3017147;30;3694;1
3017147;30;4425;1
3017147;30;6454;1
3017185;30;437;1
3017185;30;3218;1
3017185;30;3694;1
3017185;30;3742;1
3017185;30;3768;1
3017185;30;4465;1
3017185;30;4904;2
3017185;30;4998;4
3017185;30;5626;1
3017185;30;6436;1
3017185;30;7411;1
3017185;30;7449;1
3017185;30;7868;2
3017185;30;8768;1
3017185;30;9761;3
3017232;30;265;1
3017232;30;1602;1
3017232;30;1957;1
3017232;30;3571;1
3017232;30;4291;1
3017232;30;4656;1
3017232;30;6354;1
3017232;30;6895;1
3017232;30;7090;2
3017232;30;7734;2
3017232;30;8231;1
3017232;30;9464;1
3017257;30;4739;2
3017297;30;2514;1
3017297;30;8303;1
3017297;30;8602;1
3017297;30;8725;1
3017297;30;8959;1
3017297;30;9558;1
3017972;30;751;1
3017972;30;1404;1
3017972;30;1826;1
3017972;30;3384;1
3017972;30;4190;1
3017972;30;4282;1
3017972;30;4739;1
3017972;30;5763;1
3017972;30;6341;1
3017972;30;7188;1
3017972;30;7868;1
3017972;30;8168;1
3017972;30;8196;2
3017972;30;8768;1
3017972;30;8814;2
3017972;30;8994;1
3017972;30;9509;1
3017972;30;9540;1
3018582;30;1805;1
3018582;30;3869;1
3018582;30;9112;1
3018671;30;890;1
3018671;30;3153;1
3018686;30;1876;1
3018686;30;3896;1
3018686;30;6066;1
3018686;30;6700;1
3018686;30;8267;1
3011396;31;6542;1
3015093;31;2848;1
3015093;31;5721;1
3015507;31;6228;1
3016160;31;268;1
3016160;31;2383;1
3016160;31;2398;1
3016160;31;4291;1
3016160;31;4739;1
3016160;31;6510;2
3016160;31;8602;2
3016698;31;1706;1
3017013;31;2834;3
3017013;31;4440;1
3017013;31;4922;1
3017013;31;5829;1
3017013;31;6621;1
3017013;31;6647;1
3017013;31;8402;1
3017129;31;265;1
3017129;31;873;1
3017129;31;1602;1
3017129;31;2381;1
3017129;31;3753;1
3017129;31;4440;1
3017129;31;6159;1
3017129;31;6438;1
3017129;31;7734;1
3017129;31;7840;1
3018560;31;5;1
3018560;31;252;1
3018560;31;417;1
3018560;31;441;1
3018560;31;876;1
3018560;31;1323;1
3018560;31;2375;1
3018560;31;4102;1
3018560;31;6077;3
3018560;31;7093;1
3018560;31;7431;1
3018560;31;8081;1
3018560;31;9347;1
3018575;31;523;1
3018575;31;544;1
3018575;31;793;1
3018575;31;2514;1
3018575;31;3174;1
3018575;31;3307;1
3018575;31;5198;1
3018575;31;6159;1
3018575;31;7730;1
3018575;31;9011;1
3018816;31;4366;1
3016025;33;231;1
3016025;33;232;1
3016025;33;441;1
3016025;33;751;3
3016025;33;783;1
3016025;33;966;2
3016025;33;1131;1
3016025;33;1432;1
3016025;33;1444;1
3016025;33;1654;4
3016025;33;1853;1
3016025;33;2854;1
3016025;33;3455;1
3016025;33;3693;1
3016025;33;4006;1
3016025;33;4922;1
3016025;33;5023;1
3016025;33;5165;1
3016025;33;5509;1
3016025;33;5583;1
3016025;33;5731;1
3016025;33;5766;1
3016025;33;6454;1
3016025;33;6922;1
3016025;33;7188;1
3016025;33;7663;1
3016025;33;7734;1
3016025;33;8003;1
3016025;33;8023;1
3016025;33;8196;1
3016025;33;8679;2
3016025;33;8786;1
3016025;33;8893;1
3016025;33;8980;1
3016025;33;9334;1
3016025;33;9396;1
3016025;33;9540;1
3016025;33;9741;2
3016025;33;9807;1
3016025;33;9826;2
3016025;33;9988;1
3016667;33;1055;1
3016667;33;2132;1
3016667;33;4220;1
3016667;33;9523;1
3016667;33;9803;1
3017268;33;1602;1
3017268;33;5835;1
3017268;33;6209;1
3017268;33;7734;1
3017844;33;2193;1
3017844;33;3451;1
3017844;33;4185;1
3017844;33;4725;1
108074;36;961;1
108074;36;1654;1
108074;36;1718;5
108074;36;1957;1
108074;36;3511;1
108074;36;4062;1
108074;36;4630;1
108074;36;4690;3
108074;36;4843;1
108074;36;6922;1
108074;36;7519;1
108074;36;7577;1
108074;36;8177;2
108074;36;8308;1
108074;36;8893;1
108074;36;9540;2
108904;36;187;1
108904;36;190;1
108904;36;365;1
108904;36;439;1
108904;36;570;1
108904;36;625;2
108904;36;628;1
108904;36;633;1
108904;36;751;1
108904;36;905;2
108904;36;1122;4
108904;36;1303;2
108904;36;1559;2
108904;36;1654;2
108904;36;1751;2
108904;36;1762;1
108904;36;2242;2
108904;36;2383;3
108904;36;2404;2
108904;36;2587;1
108904;36;3154;2
108904;36;3207;1
108904;36;3511;1
108904;36;3753;1
108904;36;3878;1
108904;36;4006;2
108904;36;4387;1
108904;36;4588;1
108904;36;4690;3
108904;36;4902;2
108904;36;4976;1
108904;36;5030;2
108904;36;5076;1
108904;36;5113;1
108904;36;5345;1
108904;36;5826;5
108904;36;6966;2
108904;36;7032;1
108904;36;7427;5
108904;36;7868;1
108904;36;8168;1
108904;36;8175;2
108904;36;8177;9
108904;36;8238;1
108904;36;8308;4
108904;36;9078;1
108904;36;9396;1
108904;36;9513;3
108904;36;9818;1
108924;36;187;1
108924;36;190;3
108924;36;365;1
108924;36;439;1
108924;36;570;1
108924;36;625;2
108924;36;628;1
108924;36;633;1
108924;36;751;1
108924;36;905;3
108924;36;1122;4
108924;36;1303;2
108924;36;1559;2
108924;36;1654;2
108924;36;1751;2
108924;36;1762;1
108924;36;2242;2
108924;36;2383;3
108924;36;2404;2
108924;36;2587;1
108924;36;3154;2
108924;36;3207;1
108924;36;3511;1
108924;36;3753;1
108924;36;3878;2
108924;36;4006;2
108924;36;4387;1
108924;36;4588;1
108924;36;4690;2
108924;36;4902;2
108924;36;4976;1
108924;36;5030;1
108924;36;5076;1
108924;36;5113;1
108924;36;5345;1
108924;36;5826;5
108924;36;6966;2
108924;36;7032;1
108924;36;7427;5
108924;36;7868;1
108924;36;8168;1
108924;36;8175;2
108924;36;8177;9
108924;36;8238;1
108924;36;8308;4
108924;36;9078;1
108924;36;9396;1
108924;36;9513;3
108924;36;9818;1
108932;36;187;1
108932;36;190;3
108932;36;365;1
108932;36;439;1
108932;36;570;1
108932;36;625;2
108932;36;628;1
108932;36;633;1
108932;36;751;1
108932;36;905;3
108932;36;966;1
108932;36;1122;4
108932;36;1303;2
108932;36;1559;2
108932;36;1654;2
108932;36;1751;2
108932;36;1762;1
108932;36;2242;1
108932;36;2383;3
108932;36;2404;2
108932;36;2587;1
108932;36;2641;1
108932;36;3154;2
108932;36;3207;1
108932;36;3511;1
108932;36;3753;1
108932;36;3878;2
108932;36;4006;2
108932;36;4387;1
108932;36;4588;1
108932;36;4690;2
108932;36;4902;2
108932;36;4976;1
108932;36;5030;1
108932;36;5076;1
108932;36;5113;1
108932;36;5345;1
108932;36;5826;5
108932;36;6966;2
108932;36;7032;1
108932;36;7090;1
108932;36;7427;5
108932;36;7868;1
108932;36;8168;1
108932;36;8175;2
108932;36;8177;9
108932;36;8238;1
108932;36;8308;5
108932;36;9078;1
108932;36;9396;1
108932;36;9513;3
108932;36;9818;1
109010;36;187;1
109010;36;190;5
109010;36;365;1
109010;36;439;1
109010;36;570;1
109010;36;625;4
109010;36;628;1
109010;36;633;1
109010;36;751;1
109010;36;905;3
109010;36;966;1
109010;36;1122;4
109010;36;1303;2
109010;36;1559;2
109010;36;1654;2
109010;36;1751;2
109010;36;2143;1
109010;36;2242;1
109010;36;2383;3
109010;36;2404;2
109010;36;2587;1
109010;36;2641;1
109010;36;3154;2
109010;36;3207;1
109010;36;3511;1
109010;36;3753;3
109010;36;3878;2
109010;36;4006;1
109010;36;4387;1
109010;36;4690;2
109010;36;4902;2
109010;36;4976;1
109010;36;5030;1
109010;36;5076;1
109010;36;5113;1
109010;36;5345;1
109010;36;5826;5
109010;36;6966;2
109010;36;7032;1
109010;36;7090;1
109010;36;7427;2
109010;36;7868;1
109010;36;8168;1
109010;36;8175;2
109010;36;8177;11
109010;36;8238;1
109010;36;8308;5
